course_id,course_name,school_name,class_start,class_end,user_count,class_duration_days,video_count,exercise_count,certificate,assignment,video,exam,discussion,article
C_1789687,Medical Parasitology & Food Safety,华中科技大学,2020-05-10T16:00:00.000000,2021-08-31T15:59:59.000000,109,477,56,8,0.0,50.0,10.0,40.0,0.0,0.0
C_1875494,插花艺术,辽宁农业职业技术学院,2020-06-24T16:00:00.000000,2020-08-31T15:59:59.000000,1224,67,53,21,1.0,80.0,20.0,0.0,0.0,0.0
C_1903983,学前教育学,东北师范大学,2020-07-10T16:00:00.000000,2021-02-28T15:59:59.000000,8716,232,51,9,1.0,40.0,30.0,30.0,0.0,0.0
C_681448,病理生理学,贵州医科大学,2020-04-03T16:00:00.000000,2020-07-31T15:59:59.000000,3016,118,26,10,1.0,40.0,40.0,20.0,0.0,0.0
C_681448,病理生理学,贵州医科大学,2019-12-25T16:00:00.000000,2020-03-31T15:59:59.000000,3016,96,26,10,1.0,40.0,40.0,20.0,0.0,0.0
C_681664,步步为营：跨文化商务沟通实战,浙江机电职业技术学院,2019-10-01T16:00:00.000000,2020-07-31T15:59:59.000000,1793,303,176,12,1.0,50.0,25.0,12.0,8.0,5.0
C_682169,第二语言习得 (中文版),澳门大学,2020-06-01T16:00:00.000000,2020-12-31T15:59:59.000000,935,212,35,35,1.0,60.0,40.0,0.0,0.0,0.0
C_697107,运筹学,华侨大学,2020-04-02T16:00:00.000000,2020-07-31T15:59:59.000000,1900,119,56,50,1.0,30.0,50.0,20.0,0.0,0.0
C_697301,教师职业道德,成都大学,2020-02-01T16:00:00.000000,2020-07-31T15:59:59.000000,5370,180,71,8,1.0,40.0,30.0,30.0,0.0,0.0
C_697301,教师职业道德,学堂在线,2020-02-01T16:00:00.000000,2020-07-31T15:59:59.000000,5370,180,71,8,1.0,40.0,30.0,30.0,0.0,0.0
C_697367,室内花草栽培技术与装饰布景,兰州大学,2020-06-01T16:00:00.000000,2020-12-31T15:59:59.000000,1741,212,33,32,1.0,80.0,20.0,0.0,0.0,0.0
C_735130,大学计算机基础与应用,燕京理工学院,2020-08-05T16:00:00.000000,2020-12-31T15:59:59.000000,1047,147,20,27,1.0,30.0,40.0,30.0,0.0,0.0
C_735336,现代企业管理：理念、方法和工具,河北工业大学,2020-02-01T16:00:00.000000,2020-07-31T15:59:59.000000,7063,180,35,12,1.0,30.0,30.0,40.0,0.0,0.0
C_735342,经济学原理（微观部分）,清华大学,2020-01-10T16:00:00.000000,2020-07-30T16:00:00.000000,24391,202,77,22,1.0,40.0,40.0,20.0,0.0,0.0
C_746997,模拟电子技术基础(基础部分),清华大学,2020-08-01T16:00:00.000000,2020-12-31T15:59:59.000000,26334,151,110,103,1.0,60.0,40.0,0.0,0.0,0.0
C_746997,模拟电子技术基础(基础部分),清华大学,2020-02-01T16:00:00.000000,2020-07-31T15:59:59.000000,26334,180,110,103,1.0,60.0,40.0,0.0,0.0,0.0
C_747056,大气污染控制工程,清华大学,2020-02-13T16:00:00.000000,2020-07-31T15:59:59.000000,4875,168,92,93,1.0,60.0,30.0,0.0,0.0,10.0
C_758886,贸易实务英语,桂林理工大学,2020-02-01T16:00:00.000000,2020-08-15T15:59:59.000000,2364,195,85,56,1.0,50.0,30.0,20.0,0.0,0.0
C_758928,PHP程序设计,陕西工业职业技术学院,2020-02-22T16:00:00.000000,2020-07-31T15:59:00.000000,2134,159,144,17,1.0,55.0,45.0,0.0,0.0,0.0
C_760442,自然辩证法概论,中国农业大学,2020-07-01T16:00:00.000000,2020-12-31T15:59:59.000000,17904,182,28,35,1.0,60.0,0.0,40.0,0.0,0.0
C_786631,EDA技术与应用,北华航天工业学院,2020-02-02T16:00:00.000000,2020-07-26T15:59:59.000000,8193,174,34,33,1.0,40.0,10.0,30.0,15.0,5.0
C_797404,白酒品评与酒体设计,茅台学院,2020-01-23T16:00:00.000000,2020-07-26T15:59:00.000000,8984,184,48,38,1.0,55.0,10.0,35.0,0.0,0.0
C_801420,马克思主义基本原理,清华大学,2020-07-06T16:00:00.000000,2020-09-13T15:59:59.000000,50847,68,85,59,1.0,80.0,20.0,0.0,0.0,0.0
C_801420,马克思主义基本原理,清华大学,2020-02-17T16:00:00.000000,2020-07-31T15:59:59.000000,50847,164,85,59,1.0,80.0,20.0,0.0,0.0,0.0
C_801420,马克思主义基本原理,清华大学,2019-10-08T16:00:00.000000,2020-01-12T15:59:59.000000,50847,95,85,59,1.0,80.0,20.0,0.0,0.0,0.0
C_823327,C语言程序设计基础,贵州理工学院,2020-02-22T16:00:00.000000,2020-06-08T15:59:00.000000,2587,106,23,29,1.0,60.0,40.0,0.0,0.0,0.0
C_947149,软件体系结构,西安电子科技大学,2020-04-20T16:00:00.000000,2020-08-01T15:59:59.000000,14716,102,20,14,1.0,55.0,10.0,35.0,0.0,0.0
C_947250,肌肉骨骼康复,北京体育大学,2020-04-01T16:00:00.000000,2020-07-26T15:59:59.000000,10575,115,36,11,1.0,55.0,5.0,40.0,0.0,0.0
C_948128,宏观经济学,大连海事大学,2020-08-25T16:00:00.000000,2020-12-31T15:59:59.000000,2959,127,45,10,1.0,70.0,30.0,0.0,0.0,0.0
C_948428,中国税法概论,北京第二外国语学院,2020-01-04T16:00:00.000000,2020-07-26T15:59:59.000000,17793,203,43,8,1.0,60.0,0.0,40.0,0.0,0.0
C_949542,思维创新与创造力开发,广东石油化工学院,2020-02-01T16:00:00.000000,2020-07-31T15:59:00.000000,2193,180,33,31,1.0,20.0,40.0,40.0,0.0,0.0
C_1017355,中医英语入门,广州中医药大学,2020-02-05T16:00:00.000000,2020-05-10T15:59:59.000000,9341,94,19,19,1.0,30.0,40.0,30.0,0.0,0.0
C_1017419,智慧政府漫谈,中南民族大学,2020-02-03T16:00:00.000000,2020-05-31T15:59:59.000000,534,117,17,9,1.0,40.0,60.0,0.0,0.0,0.0
C_1025064,思想政治教育学原理,中南大学,2020-02-03T16:00:00.000000,2020-06-05T15:59:59.000000,2521,122,89,14,1.0,60.0,40.0,0.0,0.0,0.0
C_1025079,科学健身法-缠丝健身功,北京体育大学,2020-02-02T16:00:00.000000,2020-05-31T15:59:59.000000,1159,118,34,5,1.0,40.0,0.0,60.0,0.0,0.0
C_1159827,清华大学轮滑体育课（提高篇）,清华大学,2020-02-07T16:00:00.000000,2020-08-30T15:59:00.000000,7464,204,32,32,1.0,50.0,40.0,10.0,0.0,0.0
C_1410076,工业机器人技术基础,滨州职业学院,2020-02-14T16:00:00.000000,2020-07-16T15:59:59.000000,768,152,87,7,1.0,25.0,30.0,45.0,0.0,0.0
C_1410117,组织与人力资源管理,中南财经政法大学,2020-02-14T16:00:00.000000,2020-07-16T15:59:59.000000,3047,152,36,8,1.0,60.0,40.0,0.0,0.0,0.0
C_1410126,当代社会中的科学与技术,南京大学,2020-02-14T16:00:00.000000,2020-07-16T15:59:59.000000,7456,152,35,11,1.0,40.0,30.0,30.0,0.0,0.0
